
station_id,bikes_available,docks_available,time
91,4,31,2016-08-27 07:33:01
91,10,24,2016-08-24 14:13:01
91,3,32,2016-08-28 04:47:01
91,3,32,2016-08-29 14:48:01
91,2,33,2016-08-30 11:58:01
91,12,23,2016-08-24 22:24:50
91,6,29,2016-08-26 13:21:56
91,3,32,2016-08-28 08:58:58
91,3,32,2016-08-28 05:29:01
91,3,32,2016-08-28 10:13:49
